institution,city,state,region,control,level,predominant_degree,admission_rate,sat_average,undergrad_enrollment,pct_pell_grant,pct_first_generation,median_family_income,cost_of_attendance,tuition_in_state,tuition_out_state,completion_rate,median_debt_at_graduation,median_earnings_6yr,median_earnings_10yr,earnings_p25_10yr,earnings_p75_10yr,pct_earning_over_25k_10yr,debt_to_earnings,latitude,longitude
ABC Beauty Academy,Richardson,TX,Southwest,Private for-profit,Less than 2-year,Certificate,,,52,0.9307,,,,,,0.8594,,19991,16263,11880,35488,,,32.931698,-96.685333
ASPIRA City College,Philadelphia,PA,Mid East,Private nonprofit,2-year,Associate,0.5,,8,0.7857,0.5833,7349,18252,12147,12147,0.5,,21998,34857,15520,53410,0.376,,40.017493,-75.135042
ATA Career Education,Spring Hill,FL,Southeast,Private for-profit,4-year,Certificate,,,201,0.9159,0.5444,16606,32225,14895,14895,0.6667,21030,29724,34577,18900,47451,,0.608,28.452699,-82.595376
ATA College,El Cajon,CA,Far West,Private for-profit,2-year,Certificate,,,80,0.8632,0.6739,10976,,,,0.8947,5500,35311,35017,23713,61513,,0.157,32.819023,-116.981781
ATA College,Tulsa,OK,Southwest,Private for-profit,2-year,Associate,,,193,0.7697,,25412,30905,18850,18850,0.3333,21308,37674,40823,19190,66403,,0.522,36.097005,-95.853281
ATA College,Louisville,KY,Southeast,Private for-profit,2-year,Associate,,,363,0.8368,0.5444,16606,31920,14200,14200,0.4615,21030,29724,34577,18900,47451,,0.608,38.223667,-85.563365
ATA College-Cincinnati,Cincinnati,OH,Great Lakes,Private for-profit,2-year,Certificate,,,266,0.8295,0.5444,16606,29920,14250,14250,0.625,21030,29724,34577,18900,47451,,0.608,39.29671,-84.478867
ATI College-Whittier,Whitter,CA,Far West,Private for-profit,4-year,Certificate,,,149,0.7044,,19274,,,,0.7222,28428,36256,38938,16706,58190,,0.73,33.948364,-118.003687
Aaniiih Nakoda College,Harlem,MT,Rocky Mountains,Public,4-year,Associate,,,106,0.6466,0.2877,14059,14974,3080,3080,0.3421,,19990,30528,10775,48923,0.405,,48.484196,-108.757816
Abcott Institute,Southfield,MI,Great Lakes,Private for-profit,Less than 2-year,Certificate,,,142,0.8165,0.61,10324,,,,0.9333,10411,20788,33151,,48892,,0.314,42.446331,-83.210617
Abilene Christian University,Abilene,TX,Southwest,Private nonprofit,4-year,Bachelor's,0.6603,1194,3195,0.2233,0.2445,67009,59256,44200,44200,0.5901,24250,46727,55736,36361,80010,0.761,0.435,32.468943,-99.709797
Abilene Christian University-Undergraduate Online,Addison,TX,Southwest,Private nonprofit,4-year,Bachelor's,1.0,,1219,0.7092,0.2445,67009,30295,14520,14520,,24250,46727,55736,36361,80010,0.761,0.435,32.977065,-96.826833
Abraham Baldwin Agricultural College,Tifton,GA,Southeast,Public,4-year,Bachelor's,0.7572,990,3208,0.3474,0.3443,36087,13956,3268,10588,0.3615,16750,35495,34996,19421,53296,0.629,0.479,31.481889,-83.528281
Academia Serrant Inc,Ponce,PR,Outlying Areas,Private for-profit,Less than 2-year,Certificate,,,156,0.7706,0.4531,0,,,,0.8779,,18264,18422,7373,32843,0.188,,18.009658,-66.61529
Academy College,Bloomington,MN,Plains,Private for-profit,4-year,Bachelor's,,,56,0.2571,0.3261,24907,33874,18680,18680,0.36,29500,45418,48300,26663,66423,0.673,0.611,44.855722,-93.299809
Academy Of Hair Design,Jasper,TX,Southwest,Private for-profit,Less than 2-year,Certificate,,,52,0.5735,0.6338,12513,,,,0.9355,11125,17071,20892,10303,34751,0.235,0.533,30.908648,-94.004879
Academy for Careers and Technology,Mullins,SC,Southeast,Public,Less than 2-year,Certificate,,,37,0.2667,,18530,,,,0.5714,,42099,46553,35714,58071,,,34.186433,-79.340157
Academy for Nursing and Health Occupations,West Palm Beach,FL,Southeast,Private nonprofit,2-year,Associate,,,558,0.6116,0.5297,19834,,,,0.4167,20293,39987,47039,25210,71405,0.635,0.431,26.70653,-80.121497
Academy of Art University,San Francisco,CA,Far West,Private for-profit,4-year,Bachelor's,,,3587,0.4104,0.4084,22550,48036,30736,30736,0.3432,31000,30452,39008,17463,65466,0.666,0.795,37.787943,-122.400578
Academy of Beauty Professionals,Madison,WI,Great Lakes,Private for-profit,Less than 2-year,Certificate,,,53,0.44,,18690,,,,0.9286,6333,19104,25117,10267,38010,0.276,0.252,43.05541,-89.490781
Academy of Beauty Professionals,Appleton,WI,Great Lakes,Private for-profit,Less than 2-year,Certificate,,,37,0.3628,,18690,,,,0.7917,6333,19104,25117,10267,38010,0.276,0.252,44.266271,-88.461527
Academy of Beauty Professionals,Raymore,MO,Plains,Private for-profit,Less than 2-year,Certificate,,,31,0.5614,,18690,,,,0.8182,6333,19104,25117,10267,38010,0.276,0.252,38.812989,-94.467053
Academy of Beauty Professionals,Green Bay,WI,Great Lakes,Private for-profit,Less than 2-year,Certificate,,,64,0.4552,,18690,,,,0.5556,6333,19104,25117,10267,38010,0.276,0.252,44.52349,-88.097926
Academy of Career Training,Kissimmee,FL,Southeast,Private for-profit,Less than 2-year,Certificate,,,100,0.2194,0.4892,12165,,,,0.8219,6105,17424,22029,7424,40530,,0.277,28.306092,-81.439569
Academy of Careers and Technology,Beckley,WV,Southeast,Public,Less than 2-year,Certificate,,,168,0.3843,0.552,17064,,,,0.8148,,33106,32756,19721,48367,0.526,,37.795299,-81.165435
Academy of Cosmetology,Merritt Island,FL,Southeast,Private for-profit,Less than 2-year,Certificate,,,50,0.4545,0.4872,11620,,,,0.3871,5500,19595,20144,6992,40139,0.179,0.273,28.394053,-80.70372
Academy of Esthetics and Cosmetology,San Fernando,CA,Far West,Private for-profit,Less than 2-year,Certificate,,,30,0.7021,,14517,,,,0.6667,,,35089,12972,45070,,,34.285043,-118.444228
Academy of Hair Design - Austin,Austin,TX,Southwest,Private for-profit,Less than 2-year,Not classified,,,,,0.4606,19822,,,,,9500,21250,25129,10620,41046,,0.378,,
Academy of Hair Design-Grenada,Grenada,MS,Southeast,Private for-profit,Less than 2-year,Certificate,,,21,0.7857,0.6,14124,,,,0.8889,6786,16877,22284,12923,35079,0.276,0.305,33.775198,-89.825313
Academy of Hair Design-Las Vegas,Las Vegas,NV,Far West,Private for-profit,Less than 2-year,Certificate,,,183,0.6487,0.4867,22338,,,,0.8506,6333,20399,24391,8940,41498,0.287,0.26,36.15846,-115.210473
Academy of Hair Design-Lufkin,Lufkin,TX,Southwest,Private for-profit,Less than 2-year,Certificate,,,74,0.6147,0.6338,12513,,,,0.6957,11125,17071,20892,10303,34751,0.235,0.533,31.330724,-94.718704
Academy of Hair Design-Pearl,Pearl,MS,Southeast,Private for-profit,Less than 2-year,Certificate,,,43,0.7966,,17522,,,,0.8333,6500,21382,19921,,,,0.326,32.281983,-90.115129
Academy of Hair Design-Springfield,Springfield,MO,Plains,Private for-profit,Less than 2-year,Certificate,,,275,0.6118,0.4606,19822,,,,0.6393,9500,21250,25129,10620,41046,,0.378,37.180584,-93.261354
Academy of Hair Technology,Greenville,SC,Southeast,Private for-profit,Less than 2-year,Certificate,,,58,0.3913,0.4947,15269,,,,1.0,3417,17132,22893,9958,38363,0.243,0.149,34.874681,-82.327426
Academy of Massage and Bodywork,Bear,DE,Mid East,Private for-profit,Less than 2-year,Certificate,,,81,0.4491,0.5243,22175,,,,,6333,27395,31204,10453,55057,,0.203,39.628779,-75.666786
Academy of Natural Therapy Inc,Greeley,CO,Rocky Mountains,Private for-profit,Less than 2-year,Certificate,,,13,0.6508,,23090,,,,,7917,22771,25770,11668,36681,,0.307,40.426259,-104.691075
Academy of Salon and Spa,Fort Smith,AR,Southeast,Private for-profit,Less than 2-year,Certificate,,,52,0.6638,0.5051,13269,,,,0.8049,4833,17132,16941,7805,31125,,0.285,35.38097,-94.41616
Adams State University,Alamosa,CO,Rocky Mountains,Public,4-year,Bachelor's,,,1250,0.378,0.4151,31933,24352,9824,21944,0.3942,19500,38338,44372,28262,64019,0.703,0.439,37.473636,-105.879642
Adelphi University,Garden City,NY,Mid East,Private nonprofit,4-year,Bachelor's,0.6591,1219,5276,0.3103,0.3542,51854,63189,49110,49110,0.6715,25000,63688,75482,49267,106760,0.835,0.331,40.721439,-73.653321
Adrian College,Adrian,MI,Great Lakes,Private nonprofit,4-year,Bachelor's,0.7253,1034,1604,0.3081,0.3101,68386,56003,41684,41684,0.4842,27000,42805,55504,39042,77195,0.686,0.486,41.898591,-84.061481
Adult & Community Education Columbus City Schools - Fort Hayes Career,Columbus,OH,Great Lakes,Public,Less than 2-year,Not classified,,,,,0.5486,18808,,,,,14750,46301,51551,30226,67109,0.696,0.286,,
Adult and Community Education-Hudson,Columbus,OH,Great Lakes,Public,Less than 2-year,Certificate,1.0,,67,0.7182,0.5486,18808,,,,0.9592,14750,46301,51551,30226,67109,0.696,0.286,40.012851,-82.980603
Adult and Continuing Education-BCTS,Hackensack,NJ,Mid East,Public,Less than 2-year,Certificate,,,106,0.271,0.5769,20603,,,,0.9103,3608,45625,49739,27867,75618,,0.073,40.900877,-74.035045
Advance Beauty College,Garden Grove,CA,Far West,Private for-profit,Less than 2-year,Certificate,,,346,0.5591,0.5867,0,,,,0.6685,,12224,11575,4802,28211,0.178,,33.759905,-117.952637
Advance Science International College,Miami Lakes,FL,Southeast,Private for-profit,4-year,Associate,,,0,0.2881,0.7115,11985,,,,0.973,,31222,24047,13705,38226,,,25.924708,-80.284567
Advanced Barber College and Hair Design,Weslaco,TX,Southwest,Private for-profit,Less than 2-year,Certificate,,,91,0.7718,0.7135,12439,,,,0.6017,,14581,18519,10055,36518,0.214,,26.131543,-97.958247
Advanced Technology Institute,Virginia Beach,VA,Southeast,Private for-profit,2-year,Certificate,0.5354,,415,0.374,0.4174,24670,23713,14568,14568,0.7862,14873,41870,46342,28345,64978,0.776,0.321,36.841381,-76.182268
Advanced Training Institute,Las Vegas,NV,Far West,Private for-profit,Less than 2-year,Certificate,,,605,0.5152,0.5354,21311,,,,,7600,43739,45893,19879,69090,,0.166,36.09589,-115.206821
Advantage Technical College,San Juan,PR,Outlying Areas,Private for-profit,Less than 2-year,Certificate,,,381,0.3909,0.3778,12534,,,,0.5896,,23272,26905,16230,48270,0.351,,18.454692,-66.081082
Advantage Technical College,Manati,PR,Outlying Areas,Private for-profit,Less than 2-year,Certificate,,,584,0.6179,0.3778,12534,,,,0.5991,,23272,26905,16230,48270,0.351,,18.427879,-66.493759
Advantage Technical College-Aguadilla,Aguadilla,PR,Outlying Areas,Private for-profit,Less than 2-year,Certificate,,,263,0.4991,0.3778,12534,,,,0.9083,,23272,26905,16230,48270,0.351,,18.433012,-67.154491
AdventHealth University,Orlando,FL,Southeast,Private nonprofit,4-year,Bachelor's,,,1361,0.3677,0.3902,30567,38408,21420,21420,0.3889,24590,63230,72282,46439,99089,0.853,0.34,28.576142,-81.367687
Agnes Scott College,Decatur,GA,Southeast,Private nonprofit,4-year,Bachelor's,0.6215,1260,836,0.3853,0.212,45206,63283,50604,50604,0.7068,26749,41382,56274,33082,77511,0.708,0.475,33.769268,-84.295459
Aiken Technical College,Graniteville,SC,Southeast,Public,2-year,Associate,,,1925,0.4946,0.4752,20229,13171,5174,7924,0.335,12250,32231,39225,23391,60452,0.491,0.312,33.533833,-81.841666
Aims Community College,Greeley,CO,Rocky Mountains,Public,4-year,Certificate,,,3635,0.1494,0.5455,28173,16657,2258,11786,0.3957,6844,39696,41887,22156,63340,0.638,0.163,40.409559,-104.763415
Alabama A & M University,Normal,AL,Southeast,Public,4-year,Bachelor's,0.5795,938,6124,0.6298,0.3658,23553,27153,10024,18634,0.2403,31000,27851,40628,23030,60507,0.599,0.763,34.783368,-86.568502
Alabama State University,Montgomery,AL,Southeast,Public,4-year,Bachelor's,0.9755,976,3477,0.7134,0.3434,22080,23586,11248,19576,0.3034,31000,27453,34502,18132,51026,0.528,0.898,32.364317,-86.295677
Alamance Community College,Graham,NC,Southeast,Public,2-year,Certificate,,,3080,0.2864,0.4631,20233,15922,2592,8736,0.3934,,29841,34241,18692,49425,0.559,,36.066683,-79.357657
Alaska Career College,Anchorage,AK,Far West,Private for-profit,2-year,Certificate,,,250,0.4044,0.4768,23114,,,,0.6871,7377,35863,34468,12733,51381,0.612,0.214,61.181443,-149.856954
Alaska Christian College,Soldotna,AK,Far West,Private nonprofit,2-year,Associate,0.925,,44,0.7097,0.6486,0,23944,9660,9660,0.1143,,14240,25787,,48266,,,60.490459,-151.136005
Alaska Pacific University,Anchorage,AK,Far West,Private nonprofit,4-year,Associate,0.9645,,457,0.3204,,38810,34026,20760,20760,0.4722,23500,47803,54271,29511,79869,0.719,0.433,61.190968,-149.804168
Alaska Vocational Technical Center,Seward,AK,Far West,Public,Less than 2-year,Certificate,,,107,0.0327,0.4414,22043,,,,1.0,,42187,51083,26114,80768,0.578,,60.110626,-149.444487
Albany BOCES-Adult Practical Nursing Program,Albany,NY,Mid East,Public,Less than 2-year,Certificate,,,187,0.7143,0.5156,19574,,,,0.7442,9500,49858,47733,24809,63836,0.673,0.199,42.744858,-73.824182
Albany College of Pharmacy and Health Sciences,Albany,NY,Mid East,Private nonprofit,4-year,Bachelor's,0.5269,1252,481,0.2888,0.217,79148,54899,41475,41475,0.6754,25500,112685,131426,88704,157063,0.948,0.194,42.650371,-73.779063
Albany State University,Albany,GA,Southeast,Public,4-year,Bachelor's,,,5956,0.6932,0.3352,24458,19333,5656,17008,0.3105,25024,35579,40674,23741,59552,0.653,0.615,31.56928,-84.141825
Albany Technical College,Albany,GA,Southeast,Public,2-year,Certificate,,,2029,0.5846,0.4639,15340,14101,3364,5932,0.4225,12412,26734,30541,16430,47525,0.4,0.406,31.55434,-84.174284
Albertus Magnus College,New Haven,CT,New England,Private nonprofit,4-year,Bachelor's,0.5931,,991,0.5056,0.5338,33671,59407,41908,41908,0.5148,30964,47153,60144,34829,90104,0.794,0.515,41.332519,-72.923848
Albion College,Albion,MI,Great Lakes,Private nonprofit,4-year,Bachelor's,0.807,,1300,0.4749,0.2798,54588,69986,56950,56950,0.6159,27000,48203,58799,40306,85694,0.84,0.459,42.245049,-84.745639
Albizu University-Miami,Miami,FL,Southeast,Private nonprofit,4-year,Bachelor's,0.7571,,287,0.6637,0.2506,16091,28344,13818,13818,0.4,5500,32168,41544,20474,60492,0.59,0.132,25.795181,-80.354942
Albizu University-San Juan,San Juan,PR,Outlying Areas,Private nonprofit,4-year,Bachelor's,1.0,,728,0.6885,0.2506,16091,18382,8505,8505,0.6703,5500,32168,41544,20474,60492,0.59,0.132,18.466573,-66.113908
Albright College,Reading,PA,Mid East,Private nonprofit,4-year,Bachelor's,0.7633,,1217,0.5004,0.3605,47557,43711,29082,29082,0.507,27000,45391,58700,41197,84649,0.811,0.46,40.361351,-75.909742
Alcorn State University,Alcorn State,MS,Southeast,Public,4-year,Bachelor's,0.4533,904,2363,0.6978,0.3451,18951,23751,8785,8785,0.5736,27000,27752,36421,19114,56491,0.592,0.741,31.877216,-91.142854
Alexandria Technical & Community College,Alexandria,MN,Plains,Public,2-year,Associate,,,1533,0.1577,0.2626,49168,18698,6236,6236,0.6,12000,46061,49393,31304,68132,0.731,0.243,45.873107,-95.372369
Alfred University,Alfred,NY,Mid East,Private nonprofit,4-year,Bachelor's,0.7384,1279,1423,0.3854,0.245,54906,57445,41500,41500,0.5698,26000,41703,54897,35231,79560,0.705,0.474,42.254476,-77.788106
Alice Lloyd College,Pippa Passes,KY,Southeast,Private nonprofit,4-year,Bachelor's,0.7523,1015,558,0.5829,0.4679,39463,31200,13960,13960,0.3892,19599,35174,40573,26009,56879,0.662,0.483,37.335087,-82.875068
All-State Career School,Essington,PA,Mid East,Private for-profit,2-year,Certificate,,,886,0.7256,0.6525,11610,,,,0.5347,6333,37467,38495,16122,61916,0.62,0.165,39.866057,-75.303038
All-State Career School-Pittsburgh,West Mifflin,PA,Mid East,Private for-profit,Less than 2-year,Certificate,,,410,0.6725,0.6365,13550,,,,0.7523,9500,32765,33193,15842,50176,0.671,0.286,40.358492,-79.93713
All-State Career-Baltimore,Baltimore,MD,Mid East,Private for-profit,Less than 2-year,Certificate,,,563,0.6813,0.6365,13550,,,,0.6042,9500,32765,33193,15842,50176,0.671,0.286,39.264664,-76.544942
Allan Hancock College,Santa Maria,CA,Far West,Public,2-year,Certificate,,,8052,0.2418,0.5947,23452,13214,1156,9892,0.2629,,33531,42786,23332,64073,0.587,,34.943716,-120.421144
Allegany College of Maryland,Cumberland,MD,Mid East,Public,2-year,Associate,,,1831,0.3201,0.4775,32458,16170,4938,12618,0.396,13702,33534,38476,22152,58595,0.581,0.356,39.652152,-78.730398
Allegheny College,Meadville,PA,Mid East,Private nonprofit,4-year,Bachelor's,0.5457,1275,1156,0.2849,0.2213,65273,71348,56550,56550,0.7255,27000,45603,62069,40705,84506,0.841,0.435,41.64869,-80.147168
Allegheny Wesleyan College,Salem,OH,Great Lakes,Private nonprofit,4-year,Bachelor's,,,46,0.5,,23738,14612,6800,6800,0.4615,,21079,37453,15254,51288,,,40.86722,-80.861232
Allen College,Waterloo,IA,Plains,Private nonprofit,4-year,Bachelor's,,,261,0.2401,,56247,,,,,18750,65078,71261,47892,98634,0.864,0.263,42.530084,-92.340148
Allen County Community College,Iola,KS,Plains,Public,2-year,Associate,,,810,0.1475,0.4713,30009,14024,4260,4860,0.3742,6954,36480,40059,23783,56303,0.635,0.174,37.938038,-95.396377
Allen School-Brooklyn,Brooklyn,NY,Mid East,Private for-profit,Less than 2-year,Certificate,,,192,0.9081,0.6281,14427,,,,0.7396,9500,31149,34186,16008,50921,0.601,0.278,40.693797,-73.991546
Allen School-Jamaica,Jamaica,NY,Mid East,Private for-profit,Less than 2-year,Certificate,,,67,0.9677,0.6281,14427,,,,0.7871,9500,31149,34186,16008,50921,0.601,0.278,40.704694,-73.796295
Allen School-Phoenix,Phoenix,AZ,Southwest,Private for-profit,Less than 2-year,Certificate,,,8,0.9091,0.6281,14427,,,,0.8293,9500,31149,34186,16008,50921,0.601,0.278,33.629635,-112.11743
Allen University,Columbia,SC,Southeast,Private nonprofit,4-year,Bachelor's,0.7254,,576,0.7654,0.5066,18921,23998,14304,14304,0.1331,34290,23889,30497,16982,43521,0.426,1.124,34.010348,-81.020045
Alliant International University - Phoenix,Phoenix,AZ,Southwest,Private for-profit,4-year,Not classified,,,,,0.3193,20686,,14254,14254,,12878,47218,66666,36440,86915,0.806,0.193,,
Alliant International University-Fresno,Fresno,CA,Far West,Private for-profit,4-year,Not classified,,,,,0.3193,20686,,,,,12878,47218,66666,36440,86915,0.806,0.193,,
Alliant International University-Irvine,Irvine,CA,Far West,Private for-profit,4-year,Not classified,,,,,0.3193,20686,,,,,12878,47218,66666,36440,86915,0.806,0.193,,
Alliant International University-Los Angeles,Alhambra,CA,Far West,Private for-profit,4-year,Not classified,,,,,0.3193,20686,,,,,12878,47218,66666,36440,86915,0.806,0.193,,
Alliant International University-Sacramento,Sacramento,CA,Far West,Private for-profit,4-year,Not classified,,,,,0.3193,20686,,,,,12878,47218,66666,36440,86915,0.806,0.193,,
Alliant International University-San Diego,San Diego,CA,Far West,Private for-profit,4-year,Certificate,0.0,,391,0.0169,0.3193,20686,,14304,14304,,12878,47218,66666,36440,86915,0.806,0.193,32.897056,-117.094398
Alliant International University-San Francisco Bay Area,Emeryville,CA,Far West,Private for-profit,4-year,Not classified,,,,,0.3193,20686,,,,,12878,47218,66666,36440,86915,0.806,0.193,,
Alma College,Alma,MI,Great Lakes,Private nonprofit,4-year,Bachelor's,0.5703,,1148,0.2704,0.2411,70073,63650,49552,49552,0.6287,27000,45720,54742,36251,77064,0.804,0.493,43.38004,-84.672053
Alpena Community College,Alpena,MI,Great Lakes,Public,4-year,Associate,,,732,0.217,0.4284,25707,12246,5250,8010,0.515,9024,35275,36442,18123,57939,0.551,0.248,45.081647,-83.445069
Altoona Beauty School Inc,Altoona,PA,Mid East,Private for-profit,Less than 2-year,Certificate,,,70,0.1928,,26836,,,,0.9167,4750,18265,24246,9799,34397,0.219,0.196,40.501861,-78.387852
Alturas Cosmetology of Arizona LLC,Chandler,AZ,Southwest,Private for-profit,Less than 2-year,Certificate,,,570,0.7993,0.5072,16343,,,,0.774,6221,27180,27201,12563,44227,,0.229,33.314894,-111.860316
Alvernia University,Reading,PA,Mid East,Private nonprofit,4-year,Bachelor's,0.5806,1170,2152,0.3624,0.45,52761,57565,45000,45000,0.5553,27000,49938,55055,36845,78403,0.782,0.49,40.310028,-75.936754
Alverno College,Milwaukee,WI,Great Lakes,Private nonprofit,4-year,Bachelor's,0.8574,,631,0.451,0.4426,34078,51362,34086,34086,0.4918,27000,51755,53145,33402,76239,0.705,0.508,42.982842,-87.965174
Alvin Community College,Alvin,TX,Southwest,Public,4-year,Associate,,,3342,0.2523,0.486,22440,16962,1906,4402,0.2397,4519,38693,45762,23965,71979,0.658,0.099,29.396244,-95.240671
Amarillo College,Amarillo,TX,Southwest,Public,2-year,Associate,,,7399,0.4405,0.4883,24043,10854,2136,4704,0.3227,15000,34698,41302,22290,62056,0.621,0.363,35.187839,-101.846988
Ambria College of Nursing,Hoffman Estates,IL,Great Lakes,Private for-profit,4-year,Associate,,,123,0.4366,0.4835,37460,,,,,15438,71643,67290,43799,87709,,0.229,42.075628,-88.2109
American Academy McAllister Institute of Funeral Service,New York,NY,Mid East,Private nonprofit,2-year,Associate,,,270,0.3369,0.4762,26863,26418,20018,20018,0.25,21150,47902,54695,26159,77123,0.695,0.387,40.757105,-73.986466
American Academy of Cosmetology,Orange Park,FL,Southeast,Private for-profit,Less than 2-year,Certificate,,,122,0.6275,0.5648,17261,,,,0.6744,7638,24851,23985,10382,40837,,0.318,30.123757,-81.798803
American Academy of Dramatic Arts-New York,New York,NY,Mid East,Private nonprofit,2-year,Associate,0.9196,,187,0.2889,0.234,41206,62554,40650,40650,0.9643,12000,17742,27019,11663,47036,0.541,0.444,40.745545,-73.984843
American Advanced Technicians Institute,Hialeah,FL,Southeast,Private for-profit,Less than 2-year,Certificate,,,23,0.6939,0.5074,8890,,,,0.8889,,35832,39494,13993,61366,,,25.884901,-80.323025
American Baptist College,Nashville,TN,Southeast,Private nonprofit,4-year,Bachelor's,,,46,0.5625,0.4848,17703,27044,13604,13604,0.3889,,32665,41216,23456,57194,,,36.202623,-86.789912
American Beauty College,West Covina,CA,Far West,Private for-profit,Less than 2-year,Certificate,,,334,0.6853,0.6364,16631,,,,0.6923,5430,20569,22481,10330,43375,,0.242,34.069367,-117.936959
American Beauty School,Bronx,NY,Mid East,Private for-profit,Less than 2-year,Certificate,,,113,0.4865,0.5608,12852,,,,0.5,3500,19731,21111,9967,43606,,0.166,40.835331,-73.860639
American Career College-Anaheim,Anaheim,CA,Far West,Private for-profit,2-year,Certificate,,,1644,0.5804,0.5599,15438,,,,0.7036,9500,35013,38430,18624,57841,0.603,0.247,33.849912,-117.975599
American Career College-Los Angeles,Los Angeles,CA,Far West,Private for-profit,2-year,Certificate,,,2168,0.6254,0.5599,15438,,,,0.7489,9500,35013,38430,18624,57841,0.603,0.247,34.079323,-118.292481
American Career College-Ontario,Ontario,CA,Far West,Private for-profit,2-year,Certificate,,,2242,0.6365,0.5339,18413,,,,0.6619,9500,37239,38492,17123,57684,,0.247,34.068204,-117.583814
American College of Healthcare and Technology,Huntington Park,CA,Far West,Private for-profit,Less than 2-year,Certificate,,,125,0.8893,0.6844,11476,,,,0.7602,9500,29409,31109,14224,48441,0.493,0.305,33.98271,-118.224752
American College of Healthcare and Technology,Riverside,CA,Far West,Private for-profit,2-year,Certificate,,,272,0.8559,0.6844,11476,,,,0.6548,9500,29409,31109,14224,48441,0.493,0.305,33.901581,-117.493507
American College of Healthcare and Technology-Santa Ana,Santa Ana,CA,Far West,Private for-profit,Less than 2-year,Certificate,,,51,0.8347,0.6844,11476,,,,0.7209,9500,29409,31109,14224,48441,0.493,0.305,33.759681,-117.840955
American Educational College,Bayamon,PR,Outlying Areas,Private for-profit,2-year,Certificate,,,168,0.9957,0.5705,0,11408,8306,8306,0.466,,13901,17172,8100,30724,0.164,,18.397931,-66.15099
American Hair Academy,Mt. Pleasant,IA,Plains,Private for-profit,Less than 2-year,Certificate,,,25,0.4063,,27723,,,,0.4375,,17836,28724,17257,36327,,,40.962643,-91.524949
American Institute,Clifton,NJ,Mid East,Private for-profit,2-year,Not classified,,,,,0.6737,12000,,,,,11979,25543,28710,13201,46812,0.482,0.417,,
American Institute of Alternative Medicine,Columbus,OH,Great Lakes,Private for-profit,4-year,Certificate,0.7829,,231,0.6684,0.5053,23507,42272,22947,22947,0.6,9500,47719,40805,24960,70710,0.497,0.233,40.102442,-82.988733
American Institute of Beauty,Largo,FL,Southeast,Private for-profit,Less than 2-year,Certificate,,,151,0.7304,0.4317,13466,,,,0.5966,6333,20274,20371,10061,41496,,0.311,27.915072,-82.749094
American Institute of Medical Sciences & Education,Piscataway,NJ,Mid East,Private for-profit,2-year,Certificate,,,450,0.2085,0.5,28000,,,,0.875,11995,41300,40407,24239,60664,,0.297,40.56114,-74.437251
American Institute-Cherry Hill,Cherry Hill,NJ,Mid East,Private for-profit,Less than 2-year,Certificate,,,390,0.8182,0.6737,12000,,,,0.561,11979,25543,28710,13201,46812,0.482,0.417,39.939428,-75.015417
American Institute-Clifton,CLIFTON,NJ,Mid East,Private for-profit,Less than 2-year,Certificate,,,778,0.8561,0.6737,12000,,,,0.5723,11979,25543,28710,13201,46812,0.482,0.417,40.873516,-74.130158
American Institute-Somerset,Somerset,NJ,Mid East,Private for-profit,2-year,Certificate,,,364,0.7635,0.6737,12000,,,,0.5563,11979,25543,28710,13201,46812,0.482,0.417,40.55089,-74.544122
American Institute-Toms River,Toms River,NJ,Mid East,Private for-profit,2-year,Certificate,,,484,0.7879,0.6737,12000,,,,0.547,11979,25543,28710,13201,46812,0.482,0.417,40.044556,-74.220894
American Institute-West Hartford,West Hartford,CT,New England,Private for-profit,2-year,Certificate,,,402,0.6656,0.6737,12000,,,,0.5605,11979,25543,28710,13201,46812,0.482,0.417,41.727016,-72.725762
American InterContinental University System,Chandler,AZ,Southwest,Private for-profit,4-year,Bachelor's,,,7111,0.71,0.5549,12480,22256,12397,12397,0.0851,31000,27823,36144,18174,56003,0.691,0.858,33.278816,-111.804036
American InterContinental University-Atlanta,Atlanta,GA,Southeast,Private for-profit,4-year,Bachelor's,,,734,0.8119,0.5549,12480,23743,13527,13527,0.2083,31000,27823,36144,18174,56003,0.691,0.858,33.938779,-84.354907
American InterContinental University-Houston,Houston,TX,Southwest,Private for-profit,4-year,Bachelor's,,,94,0.6855,0.5549,12480,26087,14829,14829,0.0455,31000,27823,36144,18174,56003,0.691,0.858,29.728216,-95.548302
American International College,Springfield,MA,New England,Private nonprofit,4-year,Bachelor's,0.9957,,1017,0.448,0.4057,38891,59270,44230,44230,0.4591,27000,41451,53124,29972,78679,0.783,0.508,42.112346,-72.558338
American Jewish University,Los Angeles,CA,Far West,Private nonprofit,4-year,Certificate,,,60,0.1026,,13489,,,,0.4444,,,61954,19756,71977,,,34.128153,-118.471706
American Medical Sciences Center,Glendale,CA,Far West,Private for-profit,4-year,Bachelor's,,,365,0.6921,0.5714,11398,,,,0.75,,36193,29972,13750,60056,,,34.147117,-118.256991
American Musical and Dramatic Academy,New York,NY,Mid East,Private nonprofit,4-year,Certificate,0.2448,,1438,0.3276,0.2504,49079,65647,46928,46928,0.7164,15250,21168,26975,11230,48289,0.543,0.565,40.772275,-73.987549
American National University,Salem,VA,Southeast,Private for-profit,4-year,Associate,,,630,0.6827,0.5899,14666,25159,10961,10961,0.3333,12814,23830,26370,12604,39586,0.409,0.486,37.299743,-80.023602
